0040F155        __unlock_fhandle                             
0040F177        __alloc_osfhnd                               
0040F24A        ___unlock_20                                 
0040F2EA        ___unlock_21                                 
0040F2F3        __write_lk                                   
0040F4C1        __write                                      
0040F545        ___unlock_fhandle_1                          
0040F56C        __commit                                     
0040F609        ___unlock_fhandle_2                          
0040F628        __isatty                                     
0040F652        __flsbuf                                     
0040F76B        ___wctomb_mt                                 
0040F7CB        _wctomb                                      
0040F7F2        ___crtGetStringTypeW                         
0040FA17        __chsize_lk                                  
0040FB58        __read_lk                                    
0040FD33        __read                                       
0040FDB7        ___unlock_fhandle_3                          
0040FDDE        __lseek_lk                                   
0040FE52        __lseek                                      
0040FED6        ___unlock_fhandle_4                          
0040FEFD        __lseeki64_lk                                
0040FF80        __getbuf                                     
0040FFC4        __fptrap                                     
0040FFCD        __setmode_lk                                 
0041003A        ImmGetContext                                
00410040        ImmSetCompositionStringA                     
00410046        ImmReleaseContext                            
0041004C        ImmGetCompositionStringA                     
00410052        ImmAssociateContext                          
00410058        VerQueryValueA                               
0041005E        GetFileVersionInfoSizeA                      
00410064        GetFileVersionInfoA                          
0041006A        SMemAlloc                                    
00410070        SMemFree                                     
00410076        SRegLoadValue                                
0041007C        SStrNCat                                     
00410082        SStrVPrintf                                  
00410088        SStrChrR                                     
0041008E        SStrCopy                                     
00410094        SStrCmpI                                     
0041009A        SStrChr                                      
004100A0        SStrLen                                      
004100A6        SNetSendReplayPath                           
004100AC        SRegLoadString                               
004100B2        SFileOpenArchive                             
004100B8        SFileCloseFile                               
004100BE        SFileCloseArchive                            
004100C4        SFileOpenFileEx                              
004100CA        SFileSetLocale                               
004100D0        SStrHash                                     
004100D6        SStrCmp                                      
004100DC        SNetGetProviderCaps                          
004100E2        SBltROP3                                     
004100E8        SVidPlayContinueSingle                       
004100EE        SVidPlayEnd                                  
004100F4        SVidPlayBegin                                
004100FA        SErrGetLastError                             
00410100        SNetRegisterEventHandler                     
00410106        SNetEnumGamesEx                              
0041010C        SNetCreateGame                               
00410112        SNetDestroy                                  
00410118        SNetCreateLadderGame                         
0041011E        SNetJoinGame                                 
00410124        SNetInitializeProvider                       
0041012A        SNetPerformUpgrade                           
